ResId,ChapterId,BookId,Link,Valid,JWLINK
215297,126271,26339,538723229,yes,
211547,124759,26686,517453410,yes,
276760,169629,28838,574349199,yes,
187552,112260,25424,496195499,yes,
180271,106997,24845,493591695,yes,
379251,215598,32882,649873536,yes,
335989,197147,32999,623190061,yes,
208465,122591,26740,513749402,yes,
346097,203884,30153,635974822,yes,
165713,101737,24846,482596361,yes,
173722,104687,25529,489696473,yes,
211204,124786,26893,518509237,yes,
236791,141302,28663,542014434,yes,
256828,157528,28834,555580564,yes,
273349,165694,31048,569852467,yes,
210036,123796,26339,516081868,yes,
257972,158161,27181,557079028,yes,
186967,113164,25526,496018432,yes,
172300,103196,25526,488082324,yes,
221232,129562,27184,531114277,yes,
265076,159431,29599,563609714,yes,
254454,153643,30151,552833417,yes,
189970,114728,25531,497540061,yes,
320256,190356,32269,604640711,yes,
266663,163081,29599,565610373,yes,
367128,210165,31814,644195641,yes,
284048,172612,31881,580272782,yes,
176874,104732,25526,492444263,yes,
212111,125013,26686,518531006,yes,
351319,205805,33683,604571198,yes,
220067,128282,27926,528723779,yes,
254459,151184,29599,552853628,yes,
210031,124073,26740,516123830,yes,
210605,124497,26902,517463401,yes,
175396,104986,25531,491064982,yes,
213836,125663,26686,520768045,yes,
307855,179259,32298,592700106,yes,
255908,157428,27185,554565705,yes,
378644,215097,34136,649498447,yes,
211572,123549,26903,517487745,yes,
383308,216402,32668,651017789,yes,
221016,129085,26899,529617312,yes,
261718,160587,26899,560247013,yes,
110084,61252,22198,442936513,yes,
247499,150905,28838,548281170,yes,
351194,205786,33682,606312052,yes,
190834,113830,26338,498253674,yes,
263394,161316,30151,561765453,yes,
196716,116980,26340,502159510,yes,
236651,134189,27181,541998362,yes,
195823,116980,26340,501755159,yes,
279402,166485,30152,576697295,yes,
174632,104466,25527,491518673,yes,
263928,159787,30157,562084775,yes,
221718,129797,28663,531681875,yes,
251943,150932,27182,551832959,yes,
257249,156974,28837,556025790,yes,
237977,143096,28663,542528577,yes,
274518,166322,31300,571267074,yes,
232501,136656,28833,540004406,yes,
184702,111738,25531,494748771,yes,
356325,205732,33497,639411110,yes,
226478,130707,29055,536296239,yes,
372723,213461,33497,647184229,yes,
367482,211483,33621,644670369,yes,
276826,169583,31726,574365320,yes,
271655,162754,31322,568890830,yes,
174180,104805,24850,490112166,yes,
257288,157425,30157,556052537,yes,
209753,122851,26899,515581366,yes,
305205,179828,30151,592695592,yes,
231615,137521,27184,539988023,yes,
265392,162754,31322,564145275,yes,
193698,115670,24845,500713673,yes,
185673,111813,25527,495464533,yes,
173493,104466,25527,489384270,yes,
302388,181284,31881,592230582,yes,
351353,205813,33683,596976923,yes,
283499,172525,31322,579824625,yes,
207693,123065,26903,512804501,yes,
233509,138738,26899,540475692,yes,
272026,166589,29599,568837404,yes,
259990,159788,28837,558841556,yes,
261373,159431,29599,559878672,yes,
217880,127472,26337,525953457,yes,
307929,178921,30154,593115763,yes,
219604,128551,26686,528133174,yes,
266402,162587,31301,564981907,yes,
266494,161311,30152,564960286,yes,
219345,128445,26903,527701071,yes,
220590,128282,27926,529245192,yes,
390246,219352,34343,654419409,yes,
216084,126326,26903,523121530,yes,
169150,102837,24848,485456734,yes,
173237,104484,24848,488909284,yes,
263083,161174,27181,561697315,yes,
262380,160755,27182,560768756,yes,
251492,151973,26900,551789359,yes,
205362,122855,26893,511082870,yes,
227592,134189,27181,537217501,yes,
271106,162836,30151,568402023,yes,
258984,159078,29055,557969428,yes,
266650,162754,31322,565593967,yes,
192362,115981,25529,500030545,yes,
